objid,RA,DEC,Z,nQ,PROB
6dFg0840198-010657,130.08242,-1.11578,0.05228,3.0,0.0
6dFg0842018-014513,130.50767,-1.75372,0.03992,3.0,0.0
6dFg0842273-000843,130.61371,-0.14514,0.05218,3.0,0.0
6dFg0842283-001618,130.61783,-0.27169,0.05136,3.0,0.0
6dFg0842367-001351,130.65279,-0.23081,0.05002,3.0,0.0
6dFg0842401-003348,130.66721,-0.56319,0.03047,3.0,0.0
6dFg0843092-014421,130.78833,-1.73922,0.04897,3.0,0.0
6dFg0844170-011124,131.07075,-1.18997,0.0567,3.0,0.0
6dFg0844172-002530,131.07146,-0.42492,0.05249,3.0,0.0
6dFg0844449-014713,131.18717,-1.78681,0.04862,3.0,0.0
6dFg0844498-014606,131.20729,-1.76822,0.04854,3.0,0.0
6dFg0848242-015701,132.10071,-1.95033,0.0814,3.0,0.0
6dFg0850067-015221,132.52771,-1.87258,0.04813,3.0,0.0
6dFg0850326-001510,132.63592,-0.25281,0.06977,3.0,0.0
6dFg0852456-014854,133.19008,-1.81497,0.07756,3.0,0.0
6dFg0853062-010147,133.27592,-1.02964,0.01518,3.0,0.0
6dFg0853091-013855,133.28788,-1.64853,0.04802,3.0,0.0
6dFg0854451-015310,133.68783,-1.88597,0.04888,3.0,0.0
6dFg0854555-010320,133.73104,-1.05544,0.06931,3.0,0.0
6dFg0855546-002827,133.97746,-0.47408,0.10643,3.0,0.0
6dFg0856178-013807,134.07433,-1.63536,0.05962,3.0,0.0
6dFg0856187-002629,134.07796,-0.44147,0.01275,3.0,0.0
6dFg0856251-010300,134.10471,-1.05011,0.02881,3.0,0.0
6dFg0857042-012805,134.26754,-1.46808,0.0598,3.0,0.0
6dFg0857174-011638,134.32237,-1.27711,0.10499,3.0,0.0
6dFg0857207-005831,134.33638,-0.97533,0.03911,3.0,0.0
6dFg0857473-001160,134.44712,-0.19997,0.02825,3.0,0.0
6dFg0857540-005240,134.47479,-0.87769,0.07064,3.0,0.0
6dFg0857558-012925,134.48237,-1.49033,0.11693,3.0,0.0
6dFg0857572-010930,134.48846,-1.15836,0.00919,3.0,0.0
6dFg0858292-010703,134.62162,-1.11761,0.225,3.0,0.0
6dFg0859015-014630,134.75608,-1.775,0.0283,3.0,0.0
6dFg0859059-011718,134.77437,-1.28839,0.06044,3.0,0.0
6dFg0859469-000020,134.94533,-0.00564,0.05296,3.0,0.0
6dFg0859481-002147,134.9505,-0.36303,0.12112,3.0,0.0
