objid,RA,DEC,Z,nQ,PROB
G09_Y1_DS2_060,133.97154,-0.76752,0.27043,4.0,1.0
G09_Y1_DS2_061,134.04608,-0.89296,0.26447,4.0,1.0
G09_Y1_DS2_062,134.02563,-0.92559,0.10613,4.0,1.0
G09_Y1_DS2_063,133.96858,-0.80527,0.22535,4.0,1.0
G09_Y1_DS2_064,133.94446,-0.81786,0.15783,4.0,0.9990000128746033
G09_Y1_DS2_065,133.89992,-0.76233,0.2252,4.0,1.0
G09_Y1_DS2_066,133.99337,-0.81214,0.05099,4.0,1.0
G09_Y1_DS2_067,133.94329,-0.84412,0.28387,4.0,1.0
G09_Y1_DS2_070,133.90892,-0.68786,0.35722,4.0,1.0
G09_Y1_DS2_071,133.87825,-0.99177,0.24168,4.0,1.0
G09_Y1_DS2_072,133.75992,-0.56507,0.23381,4.0,1.0
G09_Y1_DS2_073,133.84696,-0.69863,0.10599,4.0,1.0
G09_Y1_DS2_077,133.78571,-0.57271,0.21248,4.0,1.0
G09_Y1_DS2_078,133.9015,-0.93587,0.09464,4.0,1.0
G09_Y1_DS2_079,133.88963,-0.94848,0.15794,4.0,1.0
G09_Y1_DS2_080,133.69696,-0.67709,0.23509,4.0,1.0
G09_Y1_DS2_081,133.80608,-0.85363,0.19857,4.0,1.0
G09_Y1_DS2_084,133.82192,-0.80958,0.26845,4.0,1.0
G09_Y1_DS2_085,133.80812,-0.88957,0.24101,4.0,1.0
G09_Y1_DS2_086,133.74633,-0.67976,0.2204,4.0,1.0
G09_Y1_DS2_087,133.69921,-0.54629,0.17754,4.0,1.0
G09_Y1_DS2_089,133.78179,-0.7479,0.27041,4.0,1.0
G09_Y1_DS2_090,133.72846,-0.70957,0.1743,4.0,1.0
G09_Y1_DS2_092,133.76508,-0.86837,0.1277,4.0,1.0
G09_Y1_DS2_093,133.71175,-0.65741,0.06682,4.0,1.0
G09_Y1_DS2_095,133.79913,-0.7827,0.27142,4.0,1.0
G09_Y1_DS2_096,133.69588,-0.69826,0.21267,4.0,1.0
G09_Y1_DS2_097,133.70379,-0.89672,0.16513,4.0,1.0
G09_Y1_DS2_098,133.75221,-0.89889,0.11054,4.0,1.0
G09_Y1_DS2_101,133.76438,-0.67198,0.28343,4.0,1.0
G09_Y1_DS2_102,133.68192,-0.96013,0.18419,4.0,1.0
G09_Y1_DS2_104,133.69283,-0.56292,0.26813,4.0,1.0
G09_Y1_DS2_105,133.66779,-0.72739,0.16563,4.0,1.0
G09_Y1_DS2_109,133.53412,-0.91967,0.22788,4.0,1.0
G09_Y1_DS2_110,133.70133,-0.62225,0.09152,4.0,1.0
G09_Y1_DS2_111,133.56754,-0.85958,0.32374,4.0,1.0
G09_Y1_DS2_113,133.74496,-0.62602,0.17667,4.0,1.0
G09_Y1_DS2_114,133.623,-0.64128,0.39237,4.0,1.0
G09_Y1_DS2_115,133.63154,-0.78241,0.19114,4.0,1.0
G09_Y1_DS2_116,133.54825,-0.93634,0.30557,4.0,1.0
G09_Y1_DS2_117,133.55696,-0.74446,0.17394,4.0,1.0
G09_Y1_DS2_119,133.48925,-0.85896,0.28397,4.0,1.0
G09_Y1_DS2_120,133.49342,-0.97928,0.06101,4.0,1.0
G09_Y1_DS2_121,133.45275,-0.98588,0.17468,4.0,1.0
G09_Y1_DS2_123,133.49896,-0.93145,0.22719,4.0,1.0
G09_Y1_DS2_124,133.45892,-0.93006,0.15872,4.0,1.0
G09_Y1_DS2_125,133.5745,-0.80082,0.22966,4.0,1.0
G09_Y1_DS2_127,133.42087,-0.94594,0.22814,4.0,1.0
G09_Y1_DS2_129,133.49396,-0.71516,0.26834,4.0,1.0
G09_Y1_DS2_132,133.46754,-0.75864,0.3232,4.0,1.0
G09_Y1_DS2_133,133.32662,-0.99927,0.22822,4.0,1.0
G09_Y1_DS2_134,133.42171,-0.74196,0.1718,4.0,1.0
G09_Y1_DS2_135,133.57483,-0.52856,0.237,4.0,1.0
G09_Y1_DS2_137,133.38621,-0.83735,0.223,4.0,1.0
G09_Y1_DS2_138,133.351,-0.95935,0.07125,4.0,1.0
G09_Y1_DS2_139,133.31304,-0.90862,0.12763,4.0,1.0
G09_Y1_DS2_140,133.51525,-0.57019,0.10628,4.0,1.0
G09_Y1_DS2_141,133.24221,-0.95346,0.4633,4.0,1.0
G09_Y1_DS2_142,133.29567,-0.79951,0.23293,4.0,1.0
G09_Y1_DS2_143,133.37129,-0.70443,0.12758,4.0,1.0
G09_Y1_DS2_144,133.57292,-0.51516,0.23643,4.0,1.0
G09_Y1_DS2_145,133.23329,-0.86452,0.18484,4.0,1.0
G09_Y1_DS2_146,133.17929,-0.92427,0.17349,4.0,1.0
G09_Y1_DS2_147,133.46133,-0.63208,0.15418,4.0,1.0
G09_Y1_DS2_149,133.14142,-0.90079,0.18413,4.0,1.0
G09_Y1_DS2_151,133.32467,-0.76205,0.40319,4.0,1.0
G09_Y1_DS2_152,133.07046,-0.93055,0.0718,4.0,1.0
G09_Y1_DS2_153,133.20275,-0.82579,0.18442,4.0,1.0
G09_Y1_DS2_154,133.15221,-0.93735,0.18492,4.0,1.0
G09_Y1_DS2_155,133.24767,-0.64761,0.12744,4.0,1.0
G09_Y1_DS2_156,133.16858,-0.81644,0.18492,4.0,1.0
G09_Y1_DS2_159,133.22204,-0.79488,0.45706,4.0,1.0
G09_Y1_DS2_160,133.21062,-0.78087,0.18352,4.0,1.0
G09_Y1_DS2_161,133.35887,-0.61414,0.17057,4.0,1.0
G09_Y1_DS2_162,133.23296,-0.72049,0.21074,4.0,1.0
G09_Y1_DS2_163,133.28775,-0.65675,0.05929,4.0,1.0
G09_Y1_DS2_165,133.35817,-0.68038,0.23369,4.0,1.0
G09_Y1_DS2_166,133.1745,-0.71004,0.23266,4.0,1.0
G09_Y1_DS2_167,133.15475,-0.69628,0.18328,4.0,1.0
G09_Y1_DS2_168,133.16717,-0.64907,0.23566,4.0,1.0
G09_Y1_DS2_169,133.18892,-0.69335,0.23389,4.0,1.0
G09_Y1_DS2_170,133.23029,-0.64882,0.09451,4.0,1.0
G09_Y1_DS2_171,133.47433,-0.43019,0.19837,4.0,1.0
G09_Y1_DS2_172,133.21575,-0.61612,0.23598,4.0,1.0
G09_Y1_DS2_173,133.29688,-0.6166,0.23302,4.0,1.0
G09_Y1_DS2_175,133.44404,-0.52175,0.23717,4.0,1.0
G09_Y1_DS2_176,133.18867,-0.57115,0.2357,4.0,1.0
G09_Y1_DS2_177,133.21267,-0.67717,0.10804,4.0,1.0
G09_Y1_DS2_178,133.06267,-0.60716,0.19198,4.0,1.0
G09_Y1_DS2_179,133.37083,-0.53751,0.22569,4.0,1.0
G09_Y1_DS2_180,133.46867,-0.4601,0.19294,4.0,1.0
G09_Y1_DS2_181,133.43158,-0.54054,0.23713,4.0,1.0
G09_Y1_DS2_182,133.19246,-0.52809,0.15621,4.0,1.0
G09_Y1_DS2_184,133.11267,-0.53891,0.15659,4.0,1.0
G09_Y1_DS2_185,133.38525,-0.45891,0.19083,4.0,1.0
G09_Y1_DS2_186,133.36025,-0.45507,0.23566,4.0,1.0
G09_Y1_DS2_193,133.47192,-0.49489,0.15478,4.0,1.0
G09_Y1_DS2_196,133.41908,-0.43015,0.18868,4.0,1.0
G09_Y1_DS2_199,133.33017,-0.39415,0.16761,4.0,1.0
G09_Y1_DS2_203,133.10233,-0.39433,0.15788,4.0,1.0
G09_Y1_DS2_204,133.10908,-0.32031,0.22526,4.0,1.0
G09_Y1_DS2_206,133.12483,-0.36223,0.30703,4.0,1.0
G09_Y1_DS2_207,133.51821,-0.37345,0.19138,4.0,1.0
G09_Y1_DS2_211,133.26879,-0.31762,0.20198,4.0,1.0
G09_Y1_DS2_212,133.29017,-0.3355,0.19523,4.0,1.0
G09_Y1_DS2_213,133.58038,-0.42432,0.04981,4.0,1.0
G09_Y1_DS2_215,133.22892,-0.2836,0.33692,4.0,1.0
G09_Y1_DS2_216,133.26788,-0.28479,0.22486,4.0,1.0
G09_Y1_DS2_217,133.3185,-0.31955,0.19361,4.0,1.0
G09_Y1_DS2_218,133.20812,-0.25238,0.29235,4.0,1.0
G09_Y1_DS2_220,133.27971,-0.25617,0.1929,4.0,1.0
G09_Y1_DS2_221,133.11312,-0.15106,0.33852,4.0,1.0
G09_Y1_DS2_223,133.32012,-0.23664,0.18448,4.0,1.0
G09_Y1_DS2_226,133.55154,-0.306,0.17628,4.0,1.0
G09_Y1_DS2_228,133.50987,-0.29837,0.23734,4.0,1.0
G09_Y1_DS2_234,133.10533,-0.03788,0.15875,4.0,1.0
G09_Y1_DS2_236,133.05521,-0.00107,0.17978,4.0,1.0
G09_Y1_DS2_239,133.24371,-0.05691,0.24721,4.0,1.0
G09_Y1_DS2_241,133.07433,0.06257,0.2941,4.0,1.0
G09_Y1_DS2_245,133.31213,-0.02699,0.12436,4.0,1.0
G09_Y1_DS2_247,133.14504,0.10756,0.06623,4.0,1.0
G09_Y1_DS2_251,133.41112,-0.1031,0.15667,4.0,1.0
G09_Y1_DS2_253,133.51908,-0.11138,0.16878,4.0,1.0
G09_Y1_DS2_254,133.30125,0.02596,0.16684,4.0,1.0
G09_Y1_DS2_255,133.45542,-0.09382,0.15614,4.0,1.0
G09_Y1_DS2_256,133.22042,0.22595,0.20119,4.0,1.0
G09_Y1_DS2_257,133.27333,0.19012,0.22404,4.0,1.0
G09_Y1_DS2_258,133.32846,0.00428,0.12437,4.0,1.0
G09_Y1_DS2_260,133.10371,0.37879,0.26986,4.0,1.0
G09_Y1_DS2_261,133.11304,0.41057,0.10843,4.0,1.0
G09_Y1_DS2_263,133.12625,0.41976,0.27047,4.0,1.0
G09_Y1_DS2_264,133.24858,0.26186,0.05181,4.0,1.0
G09_Y1_DS2_265,133.19775,0.4172,0.12913,4.0,1.0
G09_Y1_DS2_267,133.30579,0.25111,0.22206,4.0,1.0
G09_Y1_DS2_268,133.35538,0.17986,0.17843,4.0,1.0
G09_Y1_DS2_269,133.35092,0.26258,0.19584,4.0,1.0
G09_Y1_DS2_270,133.34375,0.29645,0.10968,4.0,1.0
G09_Y1_DS2_271,133.33212,0.33396,0.20076,4.0,1.0
G09_Y1_DS2_272,133.45958,0.13191,0.17786,4.0,1.0
G09_Y1_DS2_273,133.48246,0.10491,0.06638,4.0,1.0
G09_Y1_DS2_274,133.42329,0.17845,0.17777,4.0,1.0
G09_Y1_DS2_276,133.39821,0.30163,0.32877,4.0,1.0
G09_Y1_DS2_277,133.36667,0.40127,0.10756,4.0,1.0
G09_Y1_DS2_278,133.479,0.13413,0.19313,4.0,1.0
G09_Y1_DS2_279,133.40512,0.39825,0.10887,4.0,1.0
G09_Y1_DS2_280,133.47862,0.21554,0.05068,4.0,1.0
G09_Y1_DS2_283,133.45396,0.17218,0.1111,4.0,1.0
G09_Y1_DS2_284,133.5865,-0.16132,0.16037,4.0,1.0
G09_Y1_DS2_285,133.53096,0.00866,0.15643,4.0,1.0
G09_Y1_DS2_286,133.47317,0.42095,0.15746,4.0,1.0
G09_Y1_DS2_287,133.49146,0.40302,0.10729,4.0,1.0
G09_Y1_DS2_288,133.60175,-0.18113,0.28184,4.0,1.0
G09_Y1_DS2_289,133.61012,-0.01629,0.10671,4.0,1.0
G09_Y1_DS2_291,133.63254,0.2167,0.27683,4.0,1.0
G09_Y1_DS2_292,133.67471,-0.3451,0.23889,4.0,1.0
G09_Y1_DS2_293,133.62287,0.17437,0.11115,4.0,1.0
G09_Y1_DS2_295,133.595,0.42524,0.29379,4.0,1.0
G09_Y1_DS2_297,133.73408,-0.02288,0.22336,4.0,1.0
G09_Y1_DS2_301,133.6795,0.36476,0.218,4.0,1.0
G09_Y1_DS2_304,133.73133,0.17409,0.29345,4.0,1.0
G09_Y1_DS2_305,133.74613,0.42724,0.05277,4.0,1.0
G09_Y1_DS2_306,133.74608,0.09819,0.19955,4.0,1.0
G09_Y1_DS2_307,133.78321,0.30875,0.24007,4.0,1.0
G09_Y1_DS2_310,133.79112,0.41147,0.05265,4.0,1.0
G09_Y1_DS2_311,133.70171,0.23124,0.19964,4.0,1.0
G09_Y1_DS2_312,133.80208,0.30297,0.2505,4.0,1.0
G09_Y1_DS2_313,133.81762,0.15818,0.1997,4.0,1.0
G09_Y1_DS2_314,133.78283,0.28034,0.29346,4.0,1.0
G09_Y1_DS2_315,133.79363,0.17764,0.23929,4.0,1.0
G09_Y1_DS2_317,133.90129,0.39931,0.16629,4.0,1.0
G09_Y1_DS2_318,133.84271,0.22689,0.29222,4.0,1.0
G09_Y1_DS2_319,133.74675,0.00269,0.28909,4.0,1.0
G09_Y1_DS2_320,133.886,0.31707,0.08759,4.0,1.0
G09_Y1_DS2_324,133.96946,0.38529,0.16255,4.0,1.0
G09_Y1_DS2_326,133.95588,0.30002,0.21162,4.0,1.0
G09_Y1_DS2_327,133.97763,0.32361,0.16955,4.0,1.0
G09_Y1_DS2_328,133.81367,-0.02952,0.10586,4.0,1.0
G09_Y1_DS2_329,133.79625,0.08,0.32966,4.0,1.0
G09_Y1_DS2_330,134.04221,0.34554,0.16418,4.0,1.0
G09_Y1_DS2_331,133.94237,0.25825,0.2415,4.0,1.0
G09_Y1_DS2_332,133.93067,0.11315,0.22324,4.0,1.0
G09_Y1_DS2_333,134.066,0.341,0.1648,4.0,1.0
G09_Y1_DS2_334,133.94046,0.0478,0.20745,4.0,1.0
G09_Y1_DS2_335,133.99742,0.13756,0.17703,4.0,1.0
G09_Y1_DS2_336,134.10958,0.22699,0.16464,4.0,1.0
G09_Y1_DS2_337,134.00167,0.07941,0.10996,4.0,1.0
G09_Y1_DS2_341,134.21238,0.38144,0.30012,4.0,1.0
G09_Y1_DS2_343,134.25762,0.36897,0.29994,4.0,1.0
G09_Y1_DS2_344,134.16092,0.22569,0.16858,4.0,0.984000027179718
G09_Y1_DS2_345,133.77646,-0.2327,0.23512,4.0,0.9900000095367432
G09_Y1_DS2_346,133.98113,0.09958,0.17793,4.0,1.0
G09_Y1_DS2_348,133.71854,-0.26357,0.05041,4.0,1.0
G09_Y1_DS2_353,133.68879,-0.16025,0.20353,4.0,1.0
G09_Y1_DS2_355,134.15062,0.04132,0.16691,4.0,1.0
G09_Y1_DS2_359,134.12092,-0.05025,0.24209,4.0,1.0
G09_Y1_DS2_360,133.86258,-0.27031,0.1073,4.0,1.0
G09_Y1_DS2_363,133.70546,-0.21865,0.15624,4.0,1.0
G09_Y1_DS2_364,134.1445,-0.07556,0.11068,4.0,1.0
G09_Y1_DS2_368,134.11908,-0.1546,0.38302,4.0,1.0
G09_Y1_DS2_376,133.68092,-0.38502,0.08733,4.0,0.9990000128746033
G09_Y1_DS2_377,133.71821,-0.39248,0.23747,4.0,1.0
G09_Y1_DS2_378,134.02312,-0.25425,0.28356,4.0,1.0
G09_Y1_DS2_379,133.76917,-0.32608,0.42397,4.0,1.0
G09_Y1_DS2_380,134.08738,-0.24734,0.2441,4.0,1.0
G09_Y1_DS2_382,133.76658,-0.47439,0.17728,4.0,1.0
G09_Y1_DS2_384,133.72908,-0.49683,0.19213,4.0,1.0
G09_Y1_DS2_385,133.8845,-0.46141,0.24208,4.0,1.0
G09_Y1_DS2_390,134.10354,-0.30277,0.15463,4.0,1.0
G09_Y1_DS2_392,134.02308,-0.32036,0.15618,4.0,1.0
G09_Y1_DS2_395,134.19463,-0.34883,0.35981,4.0,1.0
G09_Y1_DS2_396,134.02142,-0.39266,0.11034,4.0,1.0
G09_Y1_DS2_397,133.70387,-0.27413,0.23843,4.0,1.0
G09_Y1_DS2_398,134.16925,-0.3644,0.20419,4.0,1.0
G09_Y1_DS2_399,134.14279,-0.39463,0.27592,4.0,1.0
G09_Y1_DX1_002,135.39508,2.52372,0.20329,4.0,1.0
G09_Y1_DX1_003,135.31433,2.48119,0.12965,4.0,1.0
G09_Y1_DX1_004,135.40029,2.49196,0.27405,4.0,1.0
G09_Y1_DX1_005,135.28038,2.46719,0.21358,4.0,1.0
G09_Y1_DX1_006,135.12942,2.42777,0.23793,4.0,1.0
G09_Y1_DX1_007,135.33946,2.43833,0.20087,4.0,1.0
G09_Y1_DX1_008,135.49904,2.39705,0.20269,4.0,1.0
G09_Y1_DX1_009,135.45217,2.39647,0.20316,4.0,1.0
G09_Y1_DX1_010,135.44171,2.46464,0.10652,4.0,1.0
G09_Y1_DX1_011,135.5455,2.37435,0.20565,4.0,1.0
G09_Y1_DX1_012,135.13833,2.44154,0.23807,4.0,1.0
G09_Y1_DX1_013,135.37675,2.38402,0.34739,4.0,0.9980000257492065
G09_Y1_DX1_014,135.30479,2.39272,0.23828,4.0,1.0
G09_Y1_DX1_015,135.24562,2.38885,0.15831,4.0,1.0
G09_Y1_DX1_017,135.53608,2.30781,0.15418,4.0,1.0
G09_Y1_DX1_018,135.23904,2.33513,0.22925,4.0,1.0
G09_Y1_DX1_019,135.08187,2.43206,2.0E-4,4.0,1.0
G09_Y1_DX1_020,135.0325,2.42917,0.21567,4.0,1.0
G09_Y1_DX1_021,135.46663,2.27598,0.21506,4.0,1.0
G09_Y1_DX1_022,135.387,2.28576,0.35427,4.0,1.0
G09_Y1_DX1_023,135.29179,2.30913,0.12418,4.0,1.0
G09_Y1_DX1_026,135.04629,2.38655,0.35184,4.0,1.0
G09_Y1_DX1_027,135.03079,2.40469,0.35069,4.0,1.0
G09_Y1_DX1_028,135.00813,2.37734,0.07171,4.0,1.0
G09_Y1_DX1_033,135.07567,2.33717,0.35171,4.0,1.0
G09_Y1_DX1_034,135.27421,2.20384,0.05882,4.0,1.0
G09_Y1_DX1_035,135.37454,2.11511,0.29329,4.0,1.0
G09_Y1_DX1_036,135.36971,2.05443,0.05733,4.0,1.0
G09_Y1_DX1_038,135.28292,2.16703,0.2003,4.0,1.0
G09_Y1_DX1_039,135.40683,2.0677,0.20597,4.0,1.0
G09_Y1_DX1_040,135.36875,2.0778,0.05745,4.0,1.0
G09_Y1_DX1_042,135.41917,2.02351,0.12467,4.0,1.0
G09_Y1_DX1_043,135.40163,2.02211,0.20747,4.0,1.0
G09_Y1_DX1_044,135.33817,2.03677,0.20266,4.0,1.0
G09_Y1_DX1_046,135.3195,2.07161,0.35763,4.0,1.0
G09_Y1_DX1_047,135.21838,2.21259,0.19973,4.0,1.0
G09_Y1_DX1_048,135.04875,2.17675,0.15947,4.0,1.0
G09_Y1_DX1_049,135.13083,2.14102,0.22289,4.0,1.0
G09_Y1_DX1_052,135.23837,2.1794,0.05828,4.0,1.0
G09_Y1_DX1_053,135.02475,2.30028,0.18952,4.0,1.0
G09_Y1_DX1_054,135.20429,2.19253,0.18875,4.0,1.0
G09_Y1_DX1_055,135.14767,2.11588,0.05251,4.0,1.0
G09_Y1_DX1_056,135.20492,2.03152,0.21584,4.0,1.0
G09_Y1_DX1_058,135.10587,2.22304,0.10286,4.0,1.0
G09_Y1_DX1_059,135.01587,2.26566,0.18926,4.0,1.0
G09_Y1_DX1_060,135.1715,2.06978,0.21606,4.0,1.0
G09_Y1_DX1_061,134.89275,2.26377,0.12476,4.0,1.0
G09_Y1_DX1_062,134.8985,2.37805,0.27604,4.0,1.0
G09_Y1_DX1_063,134.83,2.38492,0.09478,4.0,1.0
G09_Y1_DX1_064,134.84938,2.38018,0.25074,4.0,1.0
G09_Y1_DX1_066,135.0405,2.05284,0.21591,4.0,1.0
G09_Y1_DX1_067,134.92788,2.39869,0.07172,4.0,1.0
G09_Y1_DX1_069,134.98975,2.09363,0.27706,4.0,1.0
G09_Y1_DX1_071,134.9525,2.52904,0.20091,4.0,1.0
G09_Y1_DX1_073,134.96021,2.35408,0.12854,4.0,1.0
G09_Y1_DX1_074,134.91667,2.03934,0.18892,4.0,1.0
G09_Y1_DX1_075,134.88554,2.50023,0.11618,4.0,1.0
G09_Y1_DX1_076,134.93608,2.09943,0.20153,4.0,1.0
G09_Y1_DX1_077,134.92192,2.18617,0.12595,4.0,1.0
G09_Y1_DX1_078,134.92846,2.00379,0.10317,4.0,1.0
G09_Y1_DX1_079,134.9375,2.03958,0.15807,4.0,1.0
G09_Y1_DX1_080,134.92104,2.11565,0.25142,4.0,1.0
G09_Y1_DX1_084,134.89667,2.00689,0.10233,4.0,1.0
G09_Y1_DX1_085,134.8635,2.08976,0.15131,4.0,1.0
G09_Y1_DX1_087,134.70446,2.34406,0.27042,4.0,1.0
G09_Y1_DX1_089,134.78521,2.36578,0.15279,4.0,1.0
G09_Y1_DX1_090,134.87317,2.02418,0.10386,4.0,1.0
G09_Y1_DX1_097,134.73233,2.22653,0.21601,4.0,1.0
G09_Y1_DX1_106,134.68954,2.37678,0.15807,4.0,1.0
G09_Y1_DX1_109,134.642,2.14251,0.20018,4.0,1.0
G09_Y1_DX1_110,134.718,2.23271,0.23884,4.0,1.0
G09_Y1_DX1_117,134.67079,2.1937,0.0082,4.0,1.0
G09_Y1_DX1_118,134.6205,2.08356,0.2731,4.0,1.0
G09_Y1_DX1_119,134.58608,2.18728,0.18978,4.0,1.0
G09_Y1_DX1_120,134.56954,2.02866,0.07204,4.0,1.0
G09_Y1_DX1_123,134.66792,2.25929,0.12867,4.0,1.0
G09_Y1_DX1_124,134.62629,2.37524,0.27254,4.0,1.0
G09_Y1_DX1_127,134.62642,2.18407,0.20098,4.0,1.0
G09_Y1_DX1_134,134.596,2.2225,0.27623,4.0,1.0
G09_Y1_DX1_135,134.56708,2.29872,0.20174,4.0,1.0
G09_Y1_DX1_136,134.43375,2.01714,0.20139,4.0,1.0
G09_Y1_DX1_137,134.46058,2.15795,0.27399,4.0,1.0
G09_Y1_DX1_138,134.48967,2.04849,0.18993,4.0,1.0
G09_Y1_DX1_139,134.46783,2.14518,0.19965,4.0,1.0
G09_Y1_DX1_140,134.53992,2.33287,0.21234,4.0,1.0
G09_Y1_DX1_141,134.43029,2.17097,0.20003,4.0,1.0
G09_Y1_DX1_142,134.45346,2.33125,0.16534,4.0,1.0
G09_Y1_DX1_143,134.59025,2.38535,0.30021,4.0,1.0
G09_Y1_DX1_144,134.55742,2.16601,0.1138,4.0,1.0
G09_Y1_DX1_145,134.37479,2.09464,0.21333,4.0,1.0
G09_Y1_DX1_146,134.43633,2.12506,0.20085,4.0,1.0
G09_Y1_DX1_147,134.48417,2.20593,0.20121,4.0,1.0
G09_Y1_DX1_148,134.32025,2.0433,0.30594,4.0,1.0
G09_Y1_DX1_149,134.35429,2.09806,0.11054,4.0,1.0
G09_Y1_DX1_152,134.59358,2.35006,0.30009,4.0,1.0
G09_Y1_DX1_153,134.31787,2.19071,0.27988,4.0,1.0
G09_Y1_DX1_154,134.35167,2.21186,0.10989,4.0,1.0
G09_Y1_DX1_156,134.21388,2.03173,0.21348,4.0,1.0
G09_Y1_DX1_161,134.08817,2.00712,0.12393,4.0,1.0
G09_Y1_DX1_162,134.57029,2.38254,0.21614,4.0,1.0
G09_Y1_DX1_163,134.37867,2.25934,0.10365,4.0,1.0
G09_Y1_DX1_164,134.15579,2.11476,0.21315,4.0,1.0
G09_Y1_DX1_166,134.42846,2.29897,0.20112,4.0,1.0
G09_Y1_DX1_167,134.322,2.26456,0.21463,4.0,1.0
G09_Y1_DX1_168,134.30833,2.28878,0.27214,4.0,1.0
G09_Y1_DX1_169,134.154,2.18029,0.16692,4.0,1.0
G09_Y1_DX1_170,134.174,2.21121,0.19606,4.0,1.0
G09_Y1_DX1_171,133.99379,2.12854,0.12169,4.0,0.9990000128746033
G09_Y1_DX1_172,134.10779,2.19346,0.12646,4.0,1.0
G09_Y1_DX1_173,133.89317,2.09469,0.24124,4.0,1.0
G09_Y1_DX1_174,134.03208,2.16576,0.19496,4.0,1.0
G09_Y1_DX1_175,133.85217,2.12348,0.21246,4.0,1.0
G09_Y1_DX1_176,134.10446,2.23173,0.12443,4.0,1.0
G09_Y1_DX1_180,134.16863,2.28825,0.2771,4.0,1.0
G09_Y1_DX1_182,133.79275,2.21956,0.19644,4.0,1.0
G09_Y1_DX1_184,133.80175,2.23169,0.19602,4.0,1.0
G09_Y1_DX1_185,134.2555,2.38666,0.25208,4.0,1.0
G09_Y1_DX1_186,134.21213,2.36295,0.1038,4.0,1.0
G09_Y1_DX1_187,134.04525,2.34016,0.10379,4.0,1.0
G09_Y1_DX1_191,134.01692,2.37189,0.20816,4.0,1.0
G09_Y1_DX1_193,134.26617,2.43436,0.19396,4.0,1.0
G09_Y1_DX1_195,133.84671,2.42586,0.17162,4.0,1.0
G09_Y1_DX1_196,133.87346,2.40702,0.19723,4.0,1.0
G09_Y1_DX1_197,134.73162,2.51343,0.21561,4.0,1.0
G09_Y1_DX1_198,134.41254,2.39704,0.05376,4.0,1.0
G09_Y1_DX1_199,134.12058,2.43373,0.27866,4.0,1.0
G09_Y1_DX1_201,134.33558,2.43838,0.27143,4.0,1.0
G09_Y1_DX1_202,134.05858,2.52074,0.13856,4.0,1.0
G09_Y1_DX1_203,134.08454,2.48873,0.19773,4.0,1.0
G09_Y1_DX1_204,134.36992,2.50564,0.19535,4.0,1.0
G09_Y1_DX1_205,134.03883,2.55048,0.1255,4.0,1.0
G09_Y1_DX1_206,134.68317,2.45299,0.23867,4.0,1.0
G09_Y1_DX1_207,134.73483,2.48819,0.11367,4.0,1.0
G09_Y1_DX1_208,134.7115,2.46341,0.21665,4.0,1.0
G09_Y1_DX1_209,134.00429,2.58664,0.23659,4.0,1.0
G09_Y1_DX1_210,134.51921,2.52798,0.20193,4.0,1.0
G09_Y1_DX1_211,134.30212,2.57798,0.19743,4.0,1.0
G09_Y1_DX1_212,134.20587,2.60425,0.10559,4.0,1.0
G09_Y1_DX1_213,133.9805,2.65601,0.12774,4.0,1.0
G09_Y1_DX1_214,134.22421,2.61529,0.25125,4.0,1.0
G09_Y1_DX1_215,134.36708,2.43293,0.27138,4.0,1.0
G09_Y1_DX1_218,133.87967,2.74567,0.21042,4.0,1.0
G09_Y1_DX1_219,134.18675,2.69344,0.19088,4.0,1.0
G09_Y1_DX1_220,134.38404,2.62149,0.19082,4.0,1.0
G09_Y1_DX1_221,134.19492,2.73279,0.20399,4.0,1.0
G09_Y1_DX1_222,134.65383,2.42723,0.11685,4.0,1.0
G09_Y1_DX1_223,134.37404,2.65965,0.19772,4.0,1.0
G09_Y1_DX1_224,134.33513,2.66207,0.19834,4.0,1.0
G09_Y1_DX1_225,134.59975,2.42306,0.21538,4.0,1.0
G09_Y1_DX1_226,134.18533,2.74599,0.20292,4.0,1.0
G09_Y1_DX1_227,133.81308,2.92542,0.19609,4.0,1.0
G09_Y1_DX1_228,134.33217,2.68975,0.15976,4.0,1.0
G09_Y1_DX1_229,134.02087,2.84838,0.12611,4.0,1.0
G09_Y1_DX1_231,134.46929,2.7624,0.19985,4.0,1.0
G09_Y1_DX1_234,134.5245,2.65187,0.19222,4.0,1.0
G09_Y1_DX1_235,134.32733,2.77063,0.20239,4.0,1.0
G09_Y1_DX1_236,134.06742,2.93373,0.19929,4.0,1.0
G09_Y1_DX1_238,134.1115,2.9397,0.22205,4.0,1.0
G09_Y1_DX1_239,134.40604,2.84134,0.23008,4.0,1.0
G09_Y1_DX1_240,134.12738,2.9538,0.22238,4.0,1.0
G09_Y1_DX1_241,134.1165,2.97852,0.19557,4.0,1.0
G09_Y1_DX1_244,134.45433,2.7005,0.09857,4.0,1.0
G09_Y1_DX1_245,134.18317,2.91822,0.12501,4.0,1.0
G09_Y1_DX1_254,134.32929,2.89425,0.20367,4.0,1.0
G09_Y1_DX1_255,134.37033,2.94374,0.25011,4.0,1.0
G09_Y1_DX1_256,134.51663,2.74317,0.1969,4.0,1.0
G09_Y1_DX1_257,134.32888,2.95721,0.19078,4.0,1.0
G09_Y1_DX1_258,134.46646,2.78707,0.1993,4.0,1.0
G09_Y1_DX1_259,134.3985,2.96542,0.15979,4.0,1.0
